GL Account Number,GL Account Name ,Account type ,Mapping
152802,Accr Workers Comp,Liability,Non- P&L 
152803,Other Provisions for Charges,Liability,Non- P&L 
152805,Accrued Group Medical - Severance,Liability,Non- P&L 
152807,Rail Fleet Provision,Liability,Non- P&L 
152810,Medical Payments,Liability,Non- P&L 
152811,Accr Union Medical,Liability,Non- P&L 
152820,Workers Comp Payments,Liability,Non- P&L 
152850,Provision for Short Term Disability,Liability,Non- P&L 
153000,Deferred Tax Liability,Liability,Non- P&L 
153001,Deferred Tax Liability - State,Liability,Non- P&L 
164000,Notes Payable - LT,Liability,Non- P&L 
164010,Notes Payable - C,Liability,Non- P&L 
167000,Group Financial Debts - Short Term,Liability,Non- P&L 
167001,Group Financial Debts - Long Term,Liability,Non- P&L 
168000,Capital Lease - Short Term,Liability,Non- P&L 
168001,Capital Lease - Long Term,Liability,Non- P&L 
168002,Accrued Payroll Deferred Comp,Liability,Non- P&L 
168100,Other Financial Debts - C,Liability,Non- P&L 
169000,Lease Liabilities - Non-Current,Liability,Non- P&L 
169100,Lease Liabilities - Current,Liability,Non- P&L 
200900,Right-of-Use Assets - Intangible Assets,Asset,Non- P&L 
203000,Development Costs,Asset,Non- P&L 
205000,"Trade Marks, Patents and Licences",Asset,Non- P&L 
205100,Prepaid Mineral Leases & Use Rights,Asset,Non- P&L 
205200,Emission Rights,Asset,Non- P&L 
206000,Software,Asset,Non- P&L 
207000,Goodwill,Asset,Non- P&L 
208000,Other Intangible Assets,Asset,Non- P&L 
208001,Intangible Assets Under Const,Asset,Non- P&L 
208002,Intangible Assets - Capitalization,Asset,Non- P&L 
209000,Purchased Goodwill,Asset,Non- P&L 
210000,Overburden Asset Primary,Asset,Non- P&L 
210001,Overburden Asset Secondary,Asset,Non- P&L 
210002,Drill Deferral,Asset,Non- P&L 
210003,Strip Deferral,Asset,Non- P&L 
210900,Right-of-Use Assets - Tangible Assets,Asset,Non- P&L 
211000,Land,Asset,Non- P&L 
212000,Mining Reserves,Asset,Non- P&L 
213000,Buildings,Asset,Non- P&L 
214000,Leasehold Improvements,Asset,Non- P&L 
215000,Plant,Asset,Non- P&L 
215025,Capital Parts,Asset,Non- P&L 
216100,Freehold Assets to be Dismantled,Asset,Non- P&L 
218000,Other Tangible Fixed Assets,Asset,Non- P&L 
231000,CIP-Capital Expenditures-Sustenance,Asset,Non- P&L 
231001,CIP - Asset Capitalization,Asset,Non- P&L 
231100,CIP-Capital Expenditures-Overburden,Asset,Non- P&L 
231101,CIP - Asset Capitalization,Asset,Non- P&L 
231200,CIP-Capital Expenditures-Development,Asset,Non- P&L 
231201,CIP - Asset Capitalization - Development,Asset,Non- P&L 
231300,CIP - Capital Expenditures - Strategic Development,Asset,Non- P&L 
231301,CIP - Asset Capitalization - Strategic Development,Asset,Non- P&L 
231400,CIP-Capital Exp-Development-Min Reserves,Asset,Non- P&L 
231401,CIP-Asset Cap-Development-Min Reserves,Asset,Non- P&L 
238001,Down Payments on PPE,Asset,Non- P&L 
261000,Investment in Subsidiary,Asset,Non- P&L 
272000,Fin Fixed Assets-Interco Loans-C,Balance,Non- P&L 
272001,Fin Fixed Assets-Interco Loans-NC,Asset,Non- P&L 
272005,A/R - Intercompany Cash (M),Asset,Non- P&L 
272006,A/R - Intercompany Netting,Asset,Non- P&L 
272011,Fin Fixed Assets - Inventory Inter-Unit AR/AP,Balance,Non- P&L 
272100,Fin Fixed Assets-I/C Cash-Interim,Asset,Non- P&L 
272200,AR Cash Postings IFS/AX - Kaolin/Paper,Asset,Non- P&L 
272300,AR Cash Postings IFS/AX - Carbonates/Perfmin,Asset,Non- P&L 
272400,AP Postings IFS/AX,Asset,Non- P&L 
272801,"Due To / From C-E Minerals, Inc. (330)",Balance,Non- P&L 
272802,Due To / From Mullite Company of America (331),Balance,Non- P&L 
272803,"Due To / From Tennessee Electro Minerals, Inc. (332)",Balance,Non- P&L 
272804,"Due To / From AMMIN Holdings, Inc. (353)",Balance,Non- P&L 
272805,"Due To / From C-E Newell, Inc. (8021)",Balance,Non- P&L 
272806,"Due To / From Minerals Trading, Inc. (8025)",Balance,Non- P&L 
272807,"Due To / From Imerys Oilfield Minerals, Inc. (8393)",Balance,Non- P&L 
272808,Due To / From Pyramax Ceramics LLC (8448),Balance,Non- P&L 
272809,"Due To / From Imerys Filtration Minerals, Inc. (1PFM)",Balance,Non- P&L 
272810,"Due To / From Imerys Filtration Minerals, Inc. (8311)",Balance,Non- P&L 
272811,"Due To / From Imerys Filtration Minerals, Inc. (8302)",Balance,Non- P&L 
272812,"Due To / From Imerys Filtration Minerals, Inc. (8300)",Balance,Non- P&L 
272813,"Due To / From Imerys Filtration Minerals, Inc. (8306)",Balance,Non- P&L 
272814,"Due To / From Imerys Filtration Minerals, Inc. (8271)",Balance,Non- P&L 
272815,"Due To / From Imerys Paper Carbonates, LLC (8197)",Balance,Non- P&L 
272816,"Due To / From Americarb, Inc. (1611)",Balance,Non- P&L 
272817,"Due To / From Imerys Calcium Products, Inc. (1614)",Balance,Non- P&L 
272818,"Due To / From Imerys Carbonates, LLC (1617)",Balance,Non- P&L 
272819,"Due To / From Imerys Marble, Inc. (334)",Balance,Non- P&L 
272820,"Due To / From Imerys Mica Kings Mountain, Inc. (8387)",Balance,Non- P&L 
272821,Due To / From Kentucky-Tennessee Clay Company (1901),Balance,Non- P&L 
272822,"Due To / From Imerys Clays, Inc. (1612)",Balance,Non- P&L 
272823,Due To / From Imerys Canada L.P. (8219),Balance,Non- P&L 
272824,"Due To / From Kaopolite, Inc. (335A)",Balance,Non- P&L 
272825,"Due To / From Imerys Kaolin, Inc. (335)",Balance,Non- P&L 
272826,"Due To / From Imerys Clays, Inc. (Fiber Tech) (FTUS)",Balance,Non- P&L 
272827,"Due To / From Imerys USA, Inc. (7602)",Balance,Non- P&L 
272828,"Due To / From Imerys Pigments, Inc. (1615)",Balance,Non- P&L 
272829,"Due To / From Imerys Clays, Inc. (Region Center) (1613)",Balance,Non- P&L 
272830,"Due To / From Imerys Bentonite USA, Inc. (8462)",Balance,Non- P&L 
272831,"Due To / From Imerys Kaolin, Inc.(Pr Raw Matl Sourcg) (335P)",Balance,Non- P&L 
272832,"Due To / From Imerys Clays, Inc. (PRM2)",Balance,Non- P&L 
272833,Due To / From Kentucky-Tennessee Clay Company (PRM4),Balance,Non- P&L 
272834,Due To / From Pyramax Ceramics LLC (PRM6),Balance,Non- P&L 
272835,Due To / From Mullite Company of America (PRM7),Balance,Non- P&L 
272836,"Due To / From Imerys Kaolin, Inc. (Mining) (PRM3)",Balance,Non- P&L 
272837,"Due To / From Calderys USA, Inc. (8543)",Balance,Non- P&L 
272838,"Due To / From Imerys Wollastonite, LLC (8502)",Balance,Non- P&L 
272839,"Due To / From Imerys Fused Minerals Greeneville, Inc. (8359)",Balance,Non- P&L 
272840,"Due To / From Imerys Talc America, Inc. (8410)",Balance,Non- P&L 
272841,"Due To / From Imerys Talc Vermont, Inc. (8414)",Balance,Non- P&L 
272842,"Due To / From Imerys Talc Canada, Inc. (8416)",Balance,Non- P&L 
272843,"Due To / From Imerys Fused Niagara Falls, Inc. (3106)",Balance,Non- P&L 
272844,"Due To / From Imerys Mica Suzorite, Inc. (8386)",Balance,Non- P&L 
272845,"Due To / From ImerTech USA, Inc. (8615)",Balance,Non- P&L 
272846,Due To / From Kerneos Inc. (8597),Balance,Non- P&L 
274000,Non-Grp Loans & Other Fin Assets NC,Asset,Non- P&L 
274100,Non Group Loans and Other Fin Assets - C,Asset,Non- P&L 
276000,Other Fixed Financial Assets - Ext,Asset,Non- P&L 
280090,Accum Amort Right-of-Use Assets - Intangible Assets,Asset,Non- P&L 
280300,A/A - Development Costs,Asset,Non- P&L 
280500,"Acc Amort Trade Marks, Patents and Licences",Asset,Non- P&L 
281000,A/D - Overburden Asset - Primary,Asset,Non- P&L 
281001,A/D - Overburden Asset - Secondary,Asset,Non- P&L 
281002,A/D Drill Deferral,Asset,Non- P&L 
281003,A/D Strip Deferral,Asset,Non- P&L 
281090,Accum Amort Right-of-Use Assets - Tangible Assets,Asset,Non- P&L 
281610,Acc Dep Freehold Assets to be Dismantled,Asset,Non- P&L 
285100,A/A - PPD Mineral Leases/Use Rights,Asset,Non- P&L 
286000,A/A - Software,Asset,Non- P&L 
287000,A/A - Goodwill,Asset,Non- P&L 
288000,A/A - Other Intangible Assets,Asset,Non- P&L 
291000,A/D - Land,Asset,Non- P&L 
292000,A/D - Mining Reserves,Asset,Non- P&L 
293000,A/D - Buildings,Asset,Non- P&L 
293001,A/D - Leasehold Improvements,Asset,Non- P&L 
294000,A/D - Plants,Asset,Non- P&L 
294025,A/D - Capital Parts,Asset,Non- P&L 
294100,A/D - Plants - UOP,Asset,Non- P&L 
295000,A/D - Other Tangible Fixed Assets,Asset,Non- P&L 
296050,Write-Down PPE under Construction,Asset,Non- P&L 
296100,Write-Down Investments,Asset,Non- P&L 
297400,Write-Down Non Group Loans and Other Fin Assets - NC,Asset,Non- P&L 
297410,Write-Down Non Group Loans and Other Fin Assets - C,Asset,Non- P&L 
311000,Raw Materials (L),Asset,Non- P&L 
311002,RM - Crude Stone (M),Asset,Non- P&L 
311003,RM - CMMS Load,Asset,Non- P&L 
311010,RM - Stockpiles (L),Asset,Non- P&L 
311011,RM - Stockpiles (M),Asset,Non- P&L 
311012,RM - Crude in Ground (M),Asset,Non- P&L 
311014,RM - Crude Tank Inventory,Asset,Non- P&L 
311016,RM - Purchased Crude (L),Asset,Non- P&L 
311017,RM - Purchased Crude (M),Asset,Non- P&L 
311018,Crude BFA In Transit,Asset,Non- P&L 
311019,Inventory - BFA Crude Work In Process,Asset,Non- P&L 
311020,Inventory - Stores (L),Asset,Non- P&L 
311021,Inventory - Stores (M),Asset,Non- P&L 
311023,RM - Consignment - Chem,Asset,Non- P&L 
311024,RM - Consignment - Chem Contra,Asset,Non- P&L 
311025,RM - Consignment - Stores,Asset,Non- P&L 
311026,RM - Consignment - Stores Contra,Asset,Non- P&L 
311027,RM - Consignment - PKG,Asset,Non- P&L 
311028,RM - Consignment - PKG Contra,Asset,Non- P&L 
311030,RM - Chemicals (L),Asset,Non- P&L 
311031,RM - Chemicals (M),Asset,Non- P&L 
311040,RM - Packaging (L),Asset,Non- P&L 
311041,RM - Packaging (M),Asset,Non- P&L 
311050,RM - Gas (L),Asset,Non- P&L 
311051,RM - Gas (M),Asset,Non- P&L 
311052,RM - Lime (L),Asset,Non- P&L 
311053,RM - Lime (M),Asset,Non- P&L 
311054,RM - Carbon Dioxide (L),Asset,Non- P&L 
311055,Carbon - Electrodes (L),Asset,Non- P&L 
311056,RM - Coal (L),Asset,Non- P&L 
311057,RM - Coal (M),Asset,Non- P&L 
311058,RM - Alternative Fuels (L),Asset,Non- P&L 
311059,RM - Alternative Fuels (M),Asset,Non- P&L 
311061,RM- Consignment - Electrodes,Asset,Non- P&L 
311062,RM- Consignment - Electrodes Contra,Asset,Non- P&L 
330000,WIP (L),Asset,Non- P&L 
330001,WIP (M),Asset,Non- P&L 
331000,Tank/Silo Inventory (L),Asset,Non- P&L 
331001,Tank/Silo Inventory (M),Asset,Non- P&L 
351000,Finished Goods (L),Asset,Non- P&L 
351001,Finished Goods (M),Asset,Non- P&L 
351011,Freight Inventory (M),Asset,Non- P&L 
351400,Fin Goods Inv - Consigned (L),Asset,Non- P&L 
351401,Fin Goods Inv - Consigned (M),Asset,Non- P&L 
351410,Inventory in Transit (L),Asset,Non- P&L 
351411,Inventory in Transit (M),Asset,Non- P&L 
370000,Merchandise Inventory - Internal (L),Asset,Non- P&L 
370001,Merchandise Inventory - Internal (M),Asset,Non- P&L 
370100,Merchandise Inventory - External (L),Asset,Non- P&L 
370101,Merchandise Inventory - External (M),Asset,Non- P&L 
390000,Prov for Inv Losses - RM,Asset,Non- P&L 
390001,Prov for Inv Losses - Spare Parts,Asset,Non- P&L 
390002,Prov for Inv Losses - WIP,Asset,Non- P&L 
390003,Prov for Inv Losses - FG,Asset,Non- P&L 
395100,IFRS LIFO Reserve,Asset,Non- P&L 
397001,Prov for Inv Losses - Merchandise,Asset,Non- P&L 
400000,A/P Trade - External (L),Liability,Non- P&L 
400001,A/P Trade - External (M),Liability,Non- P&L 
400002,A/P Trade - O/S Checks,Liability,Non- P&L 
400003,A/P Trade - Patty Shipping,Liability,Non- P&L 
400010,A/P Trade - Prelim Invoices (L),Liability,Non- P&L 
400011,A/P Trade - Clearing Account,Liability,Non- P&L 
400050,A/P Trade - Internal (L),Liability,Non- P&L 
400051,A/P Trade - Internal (M),Liability,Non- P&L 
400100,Accr A/P Trade - Ext - Inv (L),Liability,Non- P&L 
400101,Accr A/P Trade - Ext - Inv Ret Ven,Liability,Non- P&L 
400102,Accr A/P Trade - External (M),Liability,Non- P&L 
400103,Accr A/P Trade - Ext - Other (L),Liability,Non- P&L 
400104,Accr A/P Trade - Ext - Other (M),Liability,Non- P&L 
400120,Accr A/P Trade - Trax (M),Liability,Non- P&L 
400125,Vouchers Payable Freight SIC,Liability,Non- P&L 
400126,Vouchers Payable Crude BFA Freight,Liability,Non- P&L 
400150,Accr A/P Trade - Internal (L),Liability,Non- P&L 
400152,Accr A/P Trade - Internal (M),Liability,Non- P&L 
400200,Accr Natural Gas,Liability,Non- P&L 
400210,Accr Electricity,Liability,Non- P&L 
400220,Accr Water,Liability,Non- P&L 
400230,Accr Sewer/Dredging Cost,Liability,Non- P&L 
400240,Accr Freight (M),Liability,Non- P&L 
400300,Accr Misc Exp,Liability,Non- P&L 
400301,Accr Consignment - Stores,Liability,Non- P&L 
400303,Accr Consignment - Chem,Liability,Non- P&L 
400304,Accr Consignment - PKG,Liability,Non- P&L 
400307,Accr P-Card (Monthly Accrual),Liability,Non- P&L 
400308,Accr ConcurPay (Monthly Accrual),Liability,Non- P&L 
400316,Accr Accounts Payable,Liability,Non- P&L 
400317,Accr P - Card (Interface),Liability,Non- P&L 
400318,Accr ConcurPay  (Interface),Liability,Non- P&L 
400319,Accr Audit,Liability,Non- P&L 
400321,Accr Earned Royalties,Liability,Non- P&L 
400323,Accr Minimum Royalties,Liability,Non- P&L 
400326,Accr Misc - General,Liability,Non- P&L 
400328,Accr Misc - Theile Waste Pond,Liability,Non- P&L 
400330,Accr Misc - Railcar Rent,Liability,Non- P&L 
400332,Accr Misc - Pollution Control Fees,Liability,Non- P&L 
400342,Unclaimed Prop Suspense - Accts Pay,Liability,Non- P&L 
400343,Unclaimed Prop Suspense - Royalties,Liability,Non- P&L 
400344,Unclaimed Prop Suspense- AR/Credit,Liability,Non- P&L 
400348,Accr Misc - Insurance,Liability,Non- P&L 
400350,A/P for Anaplan Entries,Liability,Non- P&L 
400401,Accr Commission,Liability,Non- P&L 
404000,A/P Trade - Capital Proj (L),Liability,Non- P&L 
404001,A/P Trade - Capital Proj (M),Liability,Non- P&L 
404100,Accr A/P Trade - Cap Proj (L),Liability,Non- P&L 
404102,Accr A/P Trade - Cap Proj (M),Liability,Non- P&L 
404200,Payables from Intangible Assets Acquisitions,Liability,Non- P&L 
404210,Payables from PPE Acquisitions,Liability,Non- P&L 
404220,Payables from Investments Acquisitions,Liability,Non- P&L 
404500,Capital Expenditure Related Payable,Liability,Non- P&L 
404501,Capital Expenditure Related Pay - C,Liability,Non- P&L 
409000,Down Payment to Suppliers,Asset,Non- P&L 
410000,A/R Trade - External (L),Asset,Non- P&L 
410001,A/R Trade - External (M),Asset,Non- P&L 
410002,A/R - Misc - Sales,Asset,Non- P&L 
410003,A/R - Legacy System Transfer,Asset,Non- P&L 
410004,A/R - Trade - Sales Rebates,Asset,Non- P&L 
410005,A/R - Customer Refunds,Asset,Non- P&L 
410050,A/R Trade - Internal (L),Asset,Non- P&L 
410051,A/R Trade - Internal (M),Asset,Non- P&L 
410900,A/R - Unapplied Cash (L),Asset,Non- P&L 
419000,Down Payments from Customers,Asset,Non- P&L 
420000,Accr Payroll,Liability,Non- P&L 
420002,A/P Employees (L),Liability,Non- P&L 
420003,A/P Employees (M),Liability,Non- P&L 
420008,P/R Withholding 401(k)-loan repayment,Liability,Non- P&L 
420009,Accr 401K Employer Contributions,Liability,Non- P&L 
420010,Accr 401k Contributions,Liability,Non- P&L 
420011,Accr Garnishments,Liability,Non- P&L 
420012,Accr Credit Union,Liability,Non- P&L 
420013,Accr HSA,Liability,Non- P&L 
420014,Accr Bonus Current Year,Liability,Non- P&L 
420015,Accr Bonus Prior Year,Liability,Non- P&L 
420016,Accr ESP Dividend,Liability,Non- P&L 
420017,Accr Union Dues,Liability,Non- P&L 
420018,Accr Stock Options,Liability,Non- P&L 
420019,Accr Uniforms,Liability,Non- P&L 
420020,Accr Employee Relocation,Liability,Non- P&L 
420021,Accr HR Purchase Power - Employee Benefit,Liability,Non- P&L 
420022,P/R Withholding - United Way,Liability,Non- P&L 
420023,Accrued Liability - HRA INS,Liability,Non- P&L 
420024,Employee Personal Loan (PRL),Liability,Non- P&L 
420030,"Accr Vacation, Holiday & Sick Pay",Liability,Non- P&L 
420035,Payroll Clearing Account,Liability,Non- P&L 
420120,Accr Payroll Taxes,Liability,Non- P&L 
420125,Accr ER Social Security Tax-NC,Liability,Non- P&L 
420126,Accr ER Social Security Tax - C,Liability,Non- P&L 
420130,Accr Bonus - MIP,Liability,Non- P&L 
420135,Accr Invest Contr Current Year,Liability,Non- P&L 
420136,Accr Invest Contr Prior Year,Liability,Non- P&L 
430000,Accr Property Tax - C,Liability,Non- P&L 
430001,Accr Property Tax - NC,Liability,Non- P&L 
430050,Accr Tax Debt / Timber - C,Liability,Non- P&L 
430100,Accr State Sales/Use Tax (L) - C,Liability,Non- P&L 
430101,Accr State Sales/Use Tax (M) - C,Liability,Non- P&L 
430102,Accr Fees & Penalties - C,Liability,Non- P&L 
430103,Accr Franchise Tax - C,Liability,Non- P&L 
430104,Accr State Sales/Use Tax (M) - NC,Liability,Non- P&L 
430110,Accr 1099 Withholding - C,Liability,Non- P&L 
430200,Liability - QST - C,Liability,Non- P&L 
430201,Liability - GST - C,Liability,Non- P&L 
430202,Liability - HST - C,Liability,Non- P&L 
440000,State Corp Income Tax Pay - C,Liability,Non- P&L 
440001,State Corp Income Tax Pay - NC,Liability,Non- P&L 
440010,Income Taxes Payable - C,Liability,Non- P&L 
442900,Income Tax Pay - Tax Consolidation,Liability,Non- P&L 
444000,Deferred Tax Assets - C,Liability,Non- P&L 
444001,Deferred Tax Assets - NC,Liability,Non- P&L 
445000,State Corp Income Tax Rec - C,Liability,Non- P&L 
445100,Income Taxes Receivable - C,Liability,Non- P&L 
462000,Capital Expenditure Related Receivables - C,Asset,Non- P&L 
462100,Capital Expenditure-Related Receivables - NC,Asset,Non- P&L 
465000,Other Operating Assets,Asset,Non- P&L 
465050,Non-Trade Receivable Interco (L),Asset,Non- P&L 
465060,Non-Trade Receivable Third Party (L),Asset,Non- P&L 
465100,Long Term Other Receivable,Asset,Non- P&L 
465200,A/R Intercompany International,Asset,Non- P&L 
465202,Travel Advances Temporary,Asset,Non- P&L 
465204,Notes Receivable - Employees - NC,Asset,Non- P&L 
465300,A/R - Miscellaneous,Asset,Non- P&L 
465301,A/R - Employee Car Loans,Asset,Non- P&L 
465302,Employee Receivable - VISA Travel,Asset,Non- P&L 
465303,A/R - Rail Credits Billing,Asset,Non- P&L 
465306,Disputed items in Concur,Asset,Non- P&L 
465307,Employee Stock Purchase,Asset,Non- P&L 
465400,Receivable - QST - C,Asset,Non- P&L 
465401,Receivable - GST - C,Asset,Non- P&L 
465402,Receivable - HST - C,Asset,Non- P&L 
465420,Receivable - Other Tax - C,Asset,Non- P&L 
466000,Other Operating Debts,Liability,Non- P&L 
466010,Accr - ME Expenses,Liability,Non- P&L 
466020,Pension Liability Chester,Liability,Non- P&L 
466100,Non Current - SEMCOA,Liability,Non- P&L 
481000,Prepaid Royalties,Asset,Non- P&L 
486000,Prepaid Miscellaneous,Asset,Non- P&L 
486002,Prepaid Leases,Asset,Non- P&L 
486004,Prepaid Minimum Royalties,Asset,Non- P&L 
486005,Prepaid Deposits,Asset,Non- P&L 
486006,Prepaid Other,Asset,Non- P&L 
486007,Prepaid A-line Card,Asset,Non- P&L 
486010,Prepaid Freight,Asset,Non- P&L 
486100,Prepaid Insurance,Asset,Non- P&L 
487000,Deferred Income - C,Liability,Non- P&L 
491000,Allow for Doubtful Accts,Asset,Non- P&L 
495000,Write-Down Other Operating Assets - C,Asset,Non- P&L 
495100,Write-Down Other Operating Assets - NC,Asset,Non- P&L 
510000,Cash - O/S Checks,Asset,Bank Account
510001,Cash - Wire Transfers,Asset,Bank Account
510002,Cash Union Bank,Asset,Bank Account
510010,Cash - SunTrust A/P,Asset,Bank Account
510011,Cash - PNC (Delaware),Asset,Bank Account
510012,Cash -  Nations Bank,Asset,Bank Account
510020,Bancomer MXN,Asset,Bank Account
510021,Bancomer USD,Asset,Bank Account
510022,Bancomer USD,Asset,Bank Account
510025,Banorte MXN,Asset,Bank Account
510026,Bancomer EUR,Asset,Bank Account
510027,Cuenta puente Bancomer,Asset,Bank Account
510028,Cuenta puente Banorte,Asset,Bank Account
510200,Cash - A/P Disbursement (L),Asset,Bank Account
510201,Cash - Payroll Hourly,Asset,Bank Account
510202,Cash - Payroll Salary,Asset,Bank Account
510203,Cash - Disbursement Account,Asset,Bank Account
510204,Cash - Disb Consolidated,Asset,Bank Account
510205,Cash - Expense Reimbursement,Asset,Bank Account
510350,Credit Industrial et Comm.  (EURO),Asset,Bank Account
510400,Cash - Petty Cash,Asset,Bank Account
510401,Cash - Workfunds,Asset,Bank Account
510402,Cash - Sun Trust Master,Asset,Bank Account
510403,Caja chica Jesús Plata,Asset,Bank Account
510404,Cash - Wachovia,Asset,Bank Account
510405,Cash - Evergreen,Asset,Bank Account
510406,Cash - Master Disbursement,Asset,Bank Account
510407,Cash - First Tennessee Zirconia,Asset,Bank Account
510408,Cash - First Tennessee TECO,Asset,Bank Account
510409,Cash - HSBC Zirconia - GBP,Asset,Bank Account
510410,Cash - HSBC Zirconia - EURO,Asset,Bank Account
510420,Cash in Transit,Asset,Bank Account
510425,Cash - Canadian Bank,Asset,Bank Account
510426,Cash - Royal Bank of Canada - CAD,Asset,Bank Account
510427,Cash - Royal Bank of Canada - USD,Asset,Bank Account
510428,Cash - Royal Bank of Canada - CAD - Short Term Disability,Asset,Bank Account
510430,Cash - SunTrust CAPEX Account,Asset,Bank Account
510435,Cash - SunTrust OPEX Account,Asset,Bank Account
510600,Cash - Deposit Trust,Asset,Bank Account
510700,Bancomer Inversiones,Asset,Bank Account
510900,Cash - Wells Fargo WC Escrow,Asset,Bank Account
510950,Cash - Money Market,Asset,Bank Account
601001,Purch RM - PPV (L),Cost,Operation Expenses
601002,RM - Intraplant Transfer,Cost,Operation Expenses
601003,Purchased Crude PPV,Cost,Operation Expenses
601004,Damage Purchased Grain,Cost,Operation Expenses
601005,Crude Shrinkage,Cost,Operation Expenses
601009,Platform VC transfer-Royalties,Cost,Operation Expenses
601010,Over Burden,Cost,Operation Expenses
601011,Hauling,Cost,Operation Expenses
601012,Royalties,Cost,Operation Expenses
601013,Royalties - Future Sites,Cost,Operation Expenses
601014,Mining Land Maintenance,Cost,Operation Expenses
601015,Contract Loading,Cost,Operation Expenses
601017,Hauling - hourly,Cost,Operation Expenses
601018,Purchase for Processing - Internal,Cost,Operation Expenses
601019,Purchase for Processing - External,Cost,Operation Expenses
601020,Purchase for Processing,Cost,Operation Expenses
601021,Hauling - Fuel Surcharges,Cost,Operation Expenses
601022,Hauling - Diesel Hedge,Cost,Operation Expenses
601023,Hauling-Freight Out,Cost,Operation Expenses
601024,Hauling- Railcar Rental- ACFX,Cost,Operation Expenses
601035,Stockpiling Charges,Cost,Operation Expenses
601036,Crude Warehouse Costs,Cost,Operation Expenses
601052,Purch RM - Int Transfer,Cost,Operation Expenses
601053,Purch RM - Crude Stone,Cost,Operation Expenses
601054,Purch RM - Revaluation,Cost,Operation Expenses
601056,Purch RM - Lime,Cost,Operation Expenses
601057,Purchased WIP Material Usage,Cost,Operation Expenses
601058,Purch RM - MG Crude,Cost,Operation Expenses
601059,Purch WIP - PPV (M),Cost,Operation Expenses
601060,Purch RM - Purchase Discounts,Cost,Operation Expenses
601061,Platform VC Transfer-Standard,Cost,Operation Expenses
601062,Platform VC Transfer-Variance,Cost,Operation Expenses
601063,Platform FC Transfer-Standard,Cost,Operation Expenses
601064,Platform FC Transfer-Variance,Cost,Operation Expenses
601065,Platform VC Transfer-Overburden Depreciation,Cost,Operation Expenses
601066,Platform VC Transfer-Depletion,Cost,Operation Expenses
601067,Platform VC Transfer-RM Inventory Change,Cost,Operation Expenses
601068,Platfrom FC Transfer-Depreciation,Cost,Operation Expenses
601069,Platform VC transfer- change in mining provision,Cost,Operation Expenses
601070,Reclamation,Cost,Operation Expenses
601072,Non-Capital Reclamation Supplies,Cost,Operation Expenses
601074,Inter BU Sales (Var),Cost,Operation Expenses
601075,Inter BU Sales (Fix),Cost,Operation Expenses
601076,BU Transfer Cost - Fixed,Cost,Operation Expenses
601077,BU Transfer Cost - Variable,Cost,Operation Expenses
601078,Allocation Plant General,Cost,Operation Expenses
601079,Allocated Repacking,Cost,Operation Expenses
601080,O/S - Contract - Drilling,Cost,Operation Expenses
601088,Platform FC Transfer - Other,Cost,Operation Expenses
601089,Inner burden waste,Cost,Operation Expenses
